name ml_label sml pa_h
aegis_10582 2 1 14.1359
aegis_10585 3 0 18.4964
aegis_10592 -1 0 20.5052
aegis_10598 2 0 -86.0398
aegis_106 1 0 -18.4712
aegis_10601 4 0 25.9174
aegis_10608 3 0 67.6914
aegis_1061 4 0 -85.3005
aegis_10625 2 1 36.6172
aegis_1063 1 1 -55.2768
aegis_10631 2 0 -26.4839
aegis_10640 2 0 -45.538
aegis_10641 1 0 -34.4986
aegis_1065 1 1 88.5199
aegis_10652 4 0 61.9898
aegis_10654 -1 0 47.3524
aegis_10658 2 0 72.794
aegis_10665 4 0 47.8709
aegis_10667 1 1 -19.0451
aegis_10679 2 1 44.0247
aegis_10682 1 0 -36.5513
aegis_10688 4 1 82.057
aegis_10689 1 1 -18.6409
aegis_10690 1 1 -71.4015
aegis_10692 4 0 12.3125
aegis_10698 1 0 66.7895
aegis_10708 2 0 25.665
aegis_1071 2 1 60.6447
aegis_10728 -1 0 71.8699
aegis_10732 3 1 -30.1594
aegis_10734 4 0 -5.7298
aegis_10735 3 1 55.8057
aegis_10736 1 1 -11.8359
aegis_10743 1 0 22.8947
aegis_10751 1 1 -8.2838
aegis_10755 3 0 37.7786
aegis_10757 1 0 29.1533
aegis_10758 2 1 -66.5295
aegis_10765 3 1 6.3062
aegis_1077 1 1 -1.6857
aegis_10771 3 1 -32.4555
aegis_10772 2 0 -22.9186
aegis_10774 1 1 -80.2336
aegis_10776 3 0 39.4228
aegis_1078 1 0 -49.1105
aegis_10780 1 1 50.5396
aegis_10784 -1 0 -70.8711
aegis_10786 2 0 -74.6128
aegis_1079 2 1 13.7429
aegis_10793 1 1 -8.0164
aegis_10799 3 0 22.2277
aegis_10802 1 1 -30.954
aegis_10806 1 1 69.7518
aegis_1081 3 1 -61.4561
aegis_10829 4 0 32.2006
aegis_10832 1 0 39.2174
aegis_10834 4 0 -16.9839
aegis_10836 1 0 -70.2833
aegis_1084 4 0 0.205
aegis_10844 1 1 -73.7248
aegis_10845 3 1 -79.2868
aegis_10849 4 1 -85.8175
aegis_10858 2 1 -52.0208
aegis_10860 3 1 -75.9345
aegis_10875 3 1 31.6231
aegis_10876 4 0 50.0376
aegis_10882 2 1 84.3672
aegis_10883 1 1 22.6928
aegis_10888 1 0 -87.3847
aegis_10892 3 0 -18.4756
aegis_10893 4 0 30.19
aegis_10897 2 0 -31.3378
aegis_1090 2 0 63.16
aegis_1091 2 0 -60.3971
aegis_10929 1 0 -39.7411
aegis_10935 4 0 -66.5739
aegis_1094 1 0 -18.1609
aegis_10949 2 0 -88.4847
aegis_10951 1 0 82.688
aegis_10957 1 0 -1.7569
aegis_10963 4 1 -30.1215
aegis_10965 1 1 48.7843
aegis_1097 4 0 56.3106
aegis_10970 4 0 85.6669
aegis_10986 3 0 69.2476
aegis_10989 2 1 71.934
aegis_10993 1 1 57.1546
aegis_110 4 0 -84.2037
aegis_11004 4 0 -37.7858
aegis_11007 1 1 -10.9911
aegis_11015 2 1 33.6035
aegis_11017 1 0 48.3615
aegis_11018 1 1 39.6813
aegis_1102 4 1 -71.4482
aegis_11022 4 0 45.8869
aegis_11023 4 0 28.5832
aegis_11029 3 0 23.9135
aegis_11031 -1 0 -20.573
aegis_11035 1 0 39.9954
aegis_11039 4 0 88.8005
aegis_11040 1 1 -81.3747
aegis_11042 3 0 27.4463
aegis_11048 3 1 36.7088
aegis_1105 4 0 39.9243
aegis_11050 2 0 -55.3811
aegis_11053 1 1 -83.6124
aegis_1106 1 0 26.2301
aegis_11067 1 1 38.3856
aegis_11068 1 0 7.2982
aegis_11071 -1 0 71.9104
aegis_11077 1 0 -87.2558
aegis_11083 1 0 17.4731
aegis_11084 3 1 66.6997
aegis_11086 4 0 35.5277
aegis_11087 3 1 45.6769
aegis_1109 1 1 75.1151
aegis_11090 1 0 21.7832
aegis_11101 4 1 18.0258
aegis_11106 1 1 -10.659
aegis_11111 4 0 72.788
aegis_11112 3 1 -13.0005
aegis_11119 1 1 86.9225
aegis_11120 1 0 -63.3424
aegis_11123 4 0 -49.5882
aegis_11125 1 0 -21.3961
aegis_11128 4 0 -36.1583
aegis_11129 -1 0 74.3469
aegis_11138 1 1 84.8786
aegis_11146 1 1 66.3421
aegis_11148 1 1 7.3256
aegis_1115 4 0 13.9908
aegis_11150 2 0 -79.2
aegis_11155 1 0 -34.0585
aegis_11163 1 1 -18.8334
aegis_11166 1 1 65.5245
aegis_11167 4 0 -82.7905
aegis_11168 3 0 8.1966
aegis_1117 1 1 -9.2337
aegis_11170 4 0 -21.7017
aegis_11172 1 1 19.8758
aegis_11173 2 0 43.0568
aegis_1118 3 1 72.957
aegis_11187 1 1 -24.6579
aegis_11188 2 0 -8.9645
aegis_11189 1 0 44.2462
aegis_1119 3 1 39.7792
aegis_11190 2 0 -50.0076
aegis_11206 4 0 -46.1607
aegis_11208 2 0 -87.6341
aegis_11209 1 1 89.2225
aegis_11210 2 0 5.2702
aegis_11216 2 0 32.712
aegis_11221 4 0 -20.3429
aegis_11229 4 0 -10.5987
aegis_11238 -1 0 -9.2223
aegis_11239 3 1 -21.2445
aegis_11250 3 1 72.8781
aegis_11251 2 1 16.6976
aegis_11261 3 1 -37.1069
aegis_11275 4 0 -71.9842
aegis_11276 3 0 82.8466
aegis_11278 3 0 55.2252
aegis_1128 3 1 47.0004
aegis_11281 3 0 29.398
aegis_11284 4 1 50.0386
aegis_11296 1 0 -47.5625
aegis_11299 4 0 -68.6295
aegis_11300 2 1 -78.632
aegis_11303 4 0 -6.9974
aegis_11310 3 1 -1.1306
aegis_11314 2 0 -75.2819
aegis_11325 1 0 48.2575
aegis_11334 1 0 -69.436
aegis_11336 1 0 14.8561
aegis_11341 1 1 -87.0271
aegis_11346 1 0 -59.21
aegis_11352 1 1 67.8414
aegis_11354 -1 0 -52.5771
aegis_11361 4 0 -43.971
aegis_11364 4 0 -38.9984
aegis_11369 1 0 47.4127
aegis_11370 3 0 -39.6824
aegis_11374 1 1 -36.4936
aegis_11379 2 0 -53.7597
aegis_1138 1 0 -63.8691
aegis_1139 3 1 6.7695
aegis_11393 2 1 35.6329
aegis_11395 3 0 89.411
aegis_11404 1 1 -30.5434
aegis_11416 2 1 56.2859
aegis_1142 2 1 -7.9348
aegis_11427 -1 0 46.9762
aegis_11433 1 1 19.3605
aegis_11436 1 1 17.3692
aegis_11438 1 0 -13.1071
aegis_11441 1 0 -16.6531
aegis_11452 2 1 60.6228
aegis_11455 1 1 -61.2608
aegis_11459 4 0 0.8104
aegis_11460 3 1 -47.4856
aegis_11462 3 0 6.4999
aegis_11463 2 0 -16.9624
aegis_11464 1 1 82.2994
aegis_11465 4 0 3.5535
aegis_11469 2 0 -16.0666
aegis_11476 2 0 4.3027
aegis_11477 3 0 32.0403
aegis_11478 1 1 -62.1765
aegis_11480 2 0 -41.9321
aegis_11485 1 0 30.8829
aegis_115 1 1 33.9715
aegis_11500 -1 0 -17.0493
aegis_11509 3 1 56.7511
aegis_11510 3 1 63.1324
aegis_11516 4 0 51.0611
aegis_11518 4 0 -50.3392
aegis_11528 4 1 -6.4164
aegis_11529 2 1 16.5381
aegis_1153 4 1 -4.4429
aegis_11530 4 1 -37.1603
aegis_11531 2 1 19.8087
aegis_11533 2 1 47.4933
aegis_11536 4 0 -83.6784
aegis_11539 2 0 -20.5257
aegis_1154 2 0 86.1595
aegis_11545 1 0 64.4926
aegis_11551 2 0 6.0392
aegis_11557 1 1 29.1823
aegis_11559 4 0 56.1925
aegis_11563 3 0 -23.2844
aegis_11568 3 0 84.3094
aegis_11569 1 0 44.8441
aegis_11583 4 1 -66.9324
aegis_11593 3 0 -21.4096
aegis_11594 3 0 -59.9221
aegis_11607 4 0 5.1564
aegis_11615 3 1 -62.0079
aegis_1162 4 0 88.9266
aegis_11621 2 0 -5.4413
aegis_11624 2 1 46.9886
aegis_11625 1 0 43.3341
aegis_11635 4 0 -74.3394
aegis_11636 4 0 49.2384
aegis_11642 1 0 -70.6966
aegis_11649 1 1 31.3203
aegis_11656 4 0 74.7396
aegis_11658 3 1 89.4078
aegis_1166 3 1 -14.8647
aegis_11665 4 1 -70.9083
aegis_11673 2 1 28.6712
aegis_11674 2 0 -53.6582
aegis_11675 4 0 58.3321
aegis_11676 2 0 24.911
aegis_1168 3 0 -14.3998
aegis_11680 3 0 2.4427
aegis_11683 1 0 -20.9356
aegis_11687 2 1 77.7088
aegis_11689 2 1 10.1512
aegis_1170 2 0 45.2502
aegis_11708 1 1 22.5235
aegis_11713 1 0 -34.3386
aegis_11717 4 1 75.353
aegis_11719 2 0 -36.8133
aegis_11726 3 0 -42.3689
aegis_11727 1 0 53.3471
aegis_11729 2 1 -50.7025
aegis_1173 -1 0 -31.6431
aegis_11730 4 0 52.0504
aegis_11733 1 1 86.7333
aegis_11735 2 1 -66.5161
aegis_11739 -1 0 -31.9904
aegis_1174 2 1 74.9169
aegis_11748 2 1 87.8937
aegis_11751 4 0 -22.3323
aegis_11752 4 1 22.5198
aegis_11753 4 1 -71.1406
aegis_11755 2 0 -67.8982
aegis_11757 3 0 -51.1443
aegis_1176 1 1 69.3235
aegis_11766 4 0 -82.3182
aegis_11773 3 0 32.839
aegis_1178 1 1 76.5294
aegis_11781 4 0 43.2606
aegis_11785 1 0 -10.115
aegis_11802 1 1 -59.4688
aegis_11806 1 0 26.5388
aegis_1181 4 1 8.0205
aegis_11816 4 0 80.8535
aegis_11818 2 0 -50.9302
aegis_11819 2 0 -20.7415
aegis_11820 1 1 24.4019
aegis_11821 2 0 85.2504
aegis_11830 1 0 -62.1414
aegis_11835 4 1 14.0924
aegis_11836 2 0 -11.5958
aegis_11837 2 1 -20.2446
aegis_11839 1 0 34.7083
aegis_11848 4 0 4.657
aegis_11849 1 0 -3.4229
aegis_11850 4 0 36.131
aegis_11857 1 1 -10.8426
aegis_11862 2 0 35.5457
aegis_11863 1 1 -19.3452
aegis_11864 3 1 -70.0687
aegis_11869 1 1 -81.0068
aegis_1187 1 1 -46.1907
aegis_11870 2 0 19.3481
aegis_11879 3 1 62.5312
aegis_11880 1 1 6.5504
aegis_11882 1 0 72.4472
aegis_11884 2 1 29.0143
aegis_11896 3 0 21.3523
aegis_11904 2 1 -66.5677
aegis_11906 1 1 61.2609
aegis_11907 1 1 52.6862
aegis_11912 1 1 61.3795
aegis_11915 4 0 -62.7796
aegis_1193 3 1 -16.2517
aegis_11930 3 1 40.1527
aegis_11931 1 1 -38.2525
aegis_1194 4 0 -55.2394
aegis_11940 4 0 26.4524
aegis_11941 1 0 -80.2118
aegis_11942 4 0 -77.3972
aegis_11946 4 0 18.6313
aegis_11947 1 1 -6.6088
aegis_11951 4 0 -71.446
aegis_11966 4 0 56.2415
aegis_11968 3 1 21.207
aegis_11978 2 0 -81.8516
aegis_11979 3 1 73.4638
aegis_11984 1 1 85.3136
aegis_11985 1 0 -43.4945
aegis_11999 4 1 -51.7757
aegis_120 0 0 28.4234
aegis_1200 4 0 -27.2839
aegis_12005 3 0 -56.1231
aegis_12009 2 1 66.0875
aegis_12012 4 1 -49.4874
aegis_12018 1 0 66.8531
aegis_12021 4 1 58.9942
aegis_12027 4 0 45.7313
aegis_12031 1 0 85.1993
aegis_12032 4 0 48.5978
aegis_12037 3 1 52.497
aegis_12041 -1 0 71.077
aegis_12049 4 0 -77.4563
aegis_1205 2 1 45.546
aegis_12055 1 0 31.8324
aegis_1206 1 1 -63.7246
aegis_12061 2 0 23.4361
aegis_12063 3 1 -83.4643
aegis_12069 4 0 -84.4125
aegis_12076 1 0 -61.1804
aegis_12080 1 0 16.0661
aegis_12085 1 1 33.1904
aegis_12086 3 1 -55.7534
aegis_12087 1 0 -4.878
aegis_12090 1 0 -56.0389
aegis_12091 1 1 -16.9803
aegis_12092 3 1 61.3146
aegis_12094 1 0 59.7512
aegis_12107 1 1 62.85
aegis_12109 2 1 -53.5162
aegis_1211 2 0 32.0524
aegis_12111 2 1 -20.8235
aegis_12112 1 1 9.7171
aegis_12113 1 1 -44.4376
aegis_12116 2 1 7.3826
aegis_12124 4 0 -12.2062
aegis_1213 1 1 -83.5991
aegis_12133 1 1 63.373
aegis_12134 4 0 39.8804
aegis_12141 4 0 -34.6343
aegis_12144 1 1 5.0576
aegis_12153 1 0 34.7363
aegis_12160 1 1 -51.1026
aegis_12161 1 1 76.8697
aegis_12166 3 0 -4.4358
aegis_12167 4 0 -10.3565
aegis_12168 1 1 11.8369
aegis_12186 1 1 35.6405
aegis_12189 1 0 52.2161
aegis_12191 4 1 83.5251
aegis_12192 2 1 59.1635
aegis_12193 3 1 36.4456
aegis_12195 -1 0 85.4074
aegis_122 2 1 -15.7947
aegis_12204 1 0 28.9458
aegis_12206 2 1 -9.6614
aegis_12207 4 0 46.1242
aegis_12209 2 1 -47.4133
aegis_1221 1 0 -72.9695
aegis_12214 2 0 -48.6848
aegis_12218 1 0 37.2372
aegis_12219 3 1 -12.0347
aegis_12221 3 0 26.1427
aegis_12227 1 1 38.7575
aegis_12232 2 1 55.1835
aegis_12234 2 1 -43.2541
aegis_12258 2 0 75.5999
aegis_12263 1 0 -84.0183
aegis_12264 1 1 -13.3877
aegis_12269 3 0 -52.682
aegis_12271 1 1 -9.0499
aegis_12279 3 1 25.6131
aegis_1228 4 0 -31.1939
aegis_12280 1 1 58.0474
aegis_12283 0 0 5.5196
aegis_12288 4 0 87.6942
aegis_1229 3 0 -1.9269
aegis_12294 3 0 55.3856
aegis_12296 2 1 87.4494
aegis_12300 1 1 82.7824
aegis_12306 1 0 18.5115
aegis_12307 4 1 88.5398
aegis_12311 3 1 -99.0
aegis_12320 3 1 28.5614
aegis_12329 2 0 34.5384
aegis_1233 1 1 -17.0787
aegis_12330 1 1 54.3607
aegis_12336 3 0 -22.833
aegis_1234 2 0 79.3508
aegis_12351 4 0 76.7982
aegis_12371 2 1 -66.7858
aegis_12376 4 0 -65.5665
aegis_12378 4 0 3.5765
aegis_12380 1 1 -71.9233
aegis_12381 3 0 51.254
aegis_12385 1 0 41.1512
aegis_12386 3 1 -85.4365
aegis_12388 4 0 -81.8979
aegis_12390 4 1 -54.4827
aegis_12395 3 0 -14.9706
aegis_12396 3 0 73.7601
aegis_12397 2 0 -20.2871
aegis_12399 2 1 -81.017
aegis_1240 2 1 85.1267
aegis_12402 1 0 -99.0
aegis_12406 1 1 -62.2671
aegis_12407 1 0 -25.7928
aegis_12408 4 0 -56.7852
aegis_12410 3 1 62.3627
aegis_12413 4 1 -20.9047
aegis_12414 1 0 4.9564
aegis_12417 4 0 -80.6009
aegis_12419 1 1 49.6539
aegis_12424 1 0 -22.0487
aegis_12429 1 1 -40.9051
aegis_12439 3 0 6.1594
aegis_1244 3 1 -49.7453
aegis_12442 2 1 20.1683
aegis_12446 1 0 -72.0618
aegis_12447 1 0 70.6727
aegis_12448 1 1 -42.4662
aegis_1245 2 0 63.7265
aegis_12450 4 0 10.1278
aegis_12451 1 0 37.7832
aegis_12468 1 1 63.4957
aegis_12473 1 0 18.0493
aegis_12474 1 0 -50.8979
aegis_12475 1 0 -11.227
aegis_12479 1 0 67.3382
aegis_12489 1 1 78.6491
aegis_12495 1 1 6.6541
aegis_12502 1 1 81.2667
aegis_12503 1 1 -24.3399
aegis_12506 1 1 37.7785
aegis_12512 3 0 7.5246
aegis_12514 1 0 -52.5146
aegis_12524 1 0 89.1863
aegis_12525 1 1 -45.3055
aegis_12532 1 0 69.0907
aegis_12533 4 1 76.6554
aegis_12534 2 0 -15.7642
aegis_12539 1 1 -77.5196
aegis_12540 1 1 24.1444
aegis_12542 3 0 62.6756
aegis_12547 3 0 -17.1308
aegis_1255 4 0 -48.6104
aegis_12550 2 1 -52.9263
aegis_12552 2 1 -0.9292
aegis_12553 1 1 25.4452
aegis_12561 1 1 66.6939
aegis_12562 1 1 -23.2362
aegis_12565 1 0 33.6599
aegis_1257 1 1 -20.5069
aegis_12571 3 0 -39.4355
aegis_12580 2 1 -25.1611
aegis_12581 1 0 72.7255
aegis_12586 1 0 28.6299
aegis_12587 -1 0 -22.5577
aegis_12589 4 0 -75.3584
aegis_1259 1 0 33.3951
aegis_12590 3 0 -6.2494
aegis_12599 1 1 -82.4824
aegis_12615 1 1 8.1969
aegis_12636 3 1 81.4103
aegis_1264 2 1 -6.6434
aegis_12641 -1 0 62.183
aegis_12647 1 0 17.0714
aegis_12658 1 0 51.6992
aegis_12659 4 0 -27.1561
aegis_1266 2 1 -70.2169
aegis_12663 1 1 58.888
aegis_12669 2 0 -30.8074
aegis_12676 2 1 -27.3565
aegis_12679 1 0 25.2319
aegis_12680 2 0 75.5048
aegis_12681 1 1 70.0164
aegis_12693 4 0 6.9166
aegis_12697 2 1 -83.4992
aegis_12699 1 1 -25.5427
aegis_12700 4 1 10.4795
aegis_12701 4 1 3.0153
aegis_12710 2 1 -39.4075
aegis_12714 3 0 50.2976
aegis_12717 4 0 54.1152
aegis_12718 1 0 35.4211
aegis_12728 1 1 -67.8097
aegis_12732 4 0 62.0898
aegis_12733 2 0 80.4662
aegis_12740 3 1 -25.5423
aegis_12745 1 0 46.4224
aegis_12748 2 1 -83.8095
aegis_1275 2 0 -5.7624
aegis_12752 3 1 42.8188
aegis_12753 3 1 43.917
aegis_12759 1 0 68.9343
aegis_12761 1 0 83.3491
aegis_12762 1 1 -27.7155
aegis_12765 -1 0 38.2474
aegis_12766 3 0 5.0615
aegis_12772 4 0 10.926
aegis_12773 4 1 -42.2291
aegis_12776 1 1 45.5144
aegis_12777 1 1 -73.7658
aegis_12786 3 1 51.3664
aegis_12790 2 0 17.7836
aegis_12798 2 0 71.716
aegis_12799 3 1 84.6949
aegis_128 1 0 -32.6119
aegis_1280 2 0 3.2378
aegis_12800 3 0 -12.6062
aegis_12801 3 1 -48.234
aegis_12807 2 0 -28.6271
aegis_12818 1 1 80.8494
aegis_12823 2 0 1.6567
aegis_12824 2 1 -85.4071
aegis_12828 1 0 -89.8855
aegis_12831 3 1 -23.7258
aegis_12835 2 1 64.3965
aegis_12836 3 0 -35.488
aegis_12837 3 1 54.3267
aegis_12838 2 1 -25.0556
aegis_1285 1 1 44.0591
aegis_12854 1 1 -86.1531
aegis_12858 1 1 -89.5357
aegis_12865 2 1 -56.4891
aegis_12867 2 0 -5.1615
aegis_12868 1 0 -77.9805
aegis_12870 3 0 20.3449
aegis_12873 4 0 -87.2081
aegis_12877 4 0 -82.4374
aegis_12878 3 1 40.4183
aegis_12881 1 0 -69.8049
aegis_12888 1 0 -53.3944
aegis_1289 2 1 -70.7815
aegis_12890 3 1 -52.1665
aegis_12891 1 0 70.2036
aegis_12892 1 1 61.9825
aegis_12899 1 1 -37.4387
aegis_12900 4 0 38.5246
aegis_12901 1 1 -32.8917
aegis_12903 2 1 -50.2893
aegis_12905 3 1 -38.5784
aegis_12912 1 1 70.1612
aegis_12917 2 0 -22.4555
aegis_12918 3 1 -81.2682
aegis_12926 3 0 65.2834
aegis_1293 1 1 -5.8604
aegis_12933 3 1 80.1779
aegis_12944 1 0 58.1937
aegis_12945 3 0 41.5632
aegis_12948 3 0 -5.0263
aegis_12956 1 0 41.0764
aegis_12957 1 0 72.4254
aegis_12963 1 1 11.3182
aegis_12969 2 1 16.6528
aegis_12970 3 0 10.5315
aegis_12971 1 1 81.5756
aegis_12972 3 1 -64.5994
aegis_1298 4 1 4.5479
aegis_12983 3 0 55.3481
aegis_1299 4 0 -67.3566
aegis_12998 2 1 82.595
aegis_130 1 1 -79.738
aegis_1300 1 1 68.0998
aegis_13000 3 1 -34.8799
aegis_1301 3 0 79.8459
aegis_13014 2 1 86.5552
aegis_13016 2 0 47.8563
aegis_13020 1 0 -22.1808
aegis_13022 2 1 -60.7846
aegis_13024 1 0 22.6892
aegis_13026 1 1 -56.4812
aegis_13029 2 0 35.446
aegis_13042 1 1 -80.9541
aegis_1306 4 1 -21.8745
aegis_13060 2 0 12.7861
aegis_13065 1 0 -87.8549
aegis_13069 2 0 89.3403
aegis_1307 2 0 73.1787
aegis_13070 1 0 88.3536
aegis_13076 2 0 -81.1305
aegis_13082 2 0 38.5554
aegis_13084 4 0 43.9964
aegis_13088 4 0 -62.3376
aegis_13097 3 0 -18.9505
aegis_13099 1 1 -2.4008
aegis_1310 4 1 1.0645
aegis_13103 1 1 -62.5752
aegis_13104 3 0 -52.8812
aegis_13108 2 1 -9.0391
aegis_1311 2 1 28.5213
aegis_13110 3 1 67.7228
aegis_13116 4 0 -5.1077
aegis_13121 1 1 22.9844
aegis_13129 3 1 -40.1219
aegis_13132 2 0 40.8147
aegis_13137 2 1 13.4351
aegis_13139 1 0 23.3871
aegis_1314 4 1 -39.3134
aegis_13141 3 1 18.8589
aegis_13144 1 0 35.2491
aegis_13145 2 1 -44.6117
aegis_13148 2 0 -66.2962
aegis_1315 1 0 -15.6624
aegis_13153 4 1 20.4443
aegis_13159 1 0 18.9885
aegis_13166 1 0 -45.94
aegis_13170 2 1 -2.793
aegis_13171 2 0 -16.7386
aegis_13173 3 0 15.5582
aegis_13175 4 0 11.797
aegis_13177 3 0 71.2209
aegis_13192 1 1 -64.1141
aegis_13193 4 0 13.0365
aegis_13194 2 0 71.059
aegis_13198 2 0 61.9837
aegis_13202 4 0 -18.8261
aegis_13206 1 1 -24.6253
aegis_13207 1 1 -37.5978
aegis_13213 2 0 16.4454
aegis_13216 4 0 38.0889
aegis_13218 1 1 26.1143
aegis_13222 1 1 -57.5362
aegis_13225 4 1 44.0182
aegis_13229 1 0 -86.3254
aegis_13230 1 0 33.8869
aegis_13239 2 1 -3.8184
aegis_1324 1 0 80.9985
aegis_13240 2 1 47.8057
aegis_13244 2 0 -67.3727
aegis_13249 4 1 89.9091
aegis_13252 4 0 66.7367
aegis_13257 2 1 -52.8414
aegis_13262 1 1 58.7577
aegis_13269 4 1 31.5489
aegis_13272 4 0 33.9011
aegis_13273 1 0 54.8316
aegis_13277 2 1 84.6633
aegis_1328 2 0 40.5179
aegis_13280 1 0 -67.9711
aegis_13281 3 1 -12.8818
aegis_13282 3 0 61.4927
aegis_13283 1 1 12.9556
aegis_13285 1 1 -0.7311
aegis_13286 1 0 -11.7773
aegis_1329 2 0 -57.5619
aegis_13290 1 1 36.7115
aegis_13292 2 0 3.6308
aegis_13294 1 0 26.0039
aegis_13298 1 0 34.389
aegis_13305 3 1 63.5016
aegis_13309 3 1 72.5469
aegis_13314 2 1 42.0441
aegis_13318 3 0 40.0423
aegis_13319 2 1 -45.5397
aegis_13322 2 0 27.3351
aegis_13324 4 0 -30.1282
aegis_13325 4 0 59.486
aegis_13327 1 0 73.832
aegis_13330 2 1 82.3209
aegis_13338 1 1 -80.865
aegis_13341 3 1 71.0762
aegis_13346 1 1 45.1483
aegis_1335 0 0 -68.2597
aegis_13356 3 0 -25.0881
aegis_13360 4 0 -51.3227
aegis_13371 3 1 72.999
aegis_13372 -1 0 52.1302
aegis_13374 1 1 38.5736
aegis_13376 2 1 43.5731
aegis_13377 4 0 -62.5567
