class	name
37	52-35133-150.2909911457418-1.9849572896704584_sci.txt
37	52-8826-150.31153868077877-1.9634765842573052_sci.txt
37	85-74349-150.7447170118809-2.6081147519208026_sci.txt
37	67-73749-149.8722403426385-2.173248191001731_sci.txt
37	30-65622-149.95628948681122-1.6865017380707505_sci.txt
37	40-42687-150.32181172815928-1.9035570490958906_sci.txt
37	102-54132-150.00255230383428-2.6618855083850828_sci.txt
37	63-16228-150.53581957654126-2.222116616527881_sci.txt
37	51-80046-150.44032856001826-2.0118509810021634_sci.txt
37	41-97399-150.22037984954454-1.8746614236442254_sci.txt
37	20-59964-149.649803621188-1.6226447402398092_sci.txt
37	80-66629-149.70512305969805-2.3603123935697843_sci.txt
37	78-93361-149.98312614487511-2.3595366121928953_sci.txt
37	51-31203-150.51252143291455-1.9770251168160329_sci.txt
37	92-40917-149.59278987865144-2.5284551530441104_sci.txt
37	87-56002-150.48350217909785-2.5807359490416877_sci.txt
37	91-9212-149.77406933439033-2.466660262070728_sci.txt
37	90-42439-150.05661504730153-2.4912683779041074_sci.txt
37	93-69193-149.49506708288126-2.5988064120804593_sci.txt
37	99-70514-150.51613358988186-2.6765645185907903_sci.txt
37	76-34389-150.25137712033523-2.316601961076604_sci.txt
37	53-82860-150.1104902284252-2.112776912498838_sci.txt
37	74-62713-150.56183640326773-2.4480902926209445_sci.txt
37	67-94038-149.86712771402256-2.27907013132826_sci.txt
39	103-45221-149.78023926614367-2.7431305220093005_sci.txt
39	28-88688-150.31077713774084-1.692221895332386_sci.txt
39	105-29074-149.47749016699072-2.6508671789856146_sci.txt
39	44-32613-149.6044337791114-1.8145425365782148_sci.txt
39	52-39915-150.25515045772318-2.067769663476641_sci.txt
39	68-59614-149.5612808494122-2.1717754456322114_sci.txt
39	105-45733-149.55333062748448-2.664721450225508_sci.txt
39	97-27897-150.75638348049358-2.682971293583726_sci.txt
39	57-46022-149.48055673683595-1.9980840331555199_sci.txt
39	100-72316-150.31731388917206-2.6881934649846873_sci.txt
39	79-90265-149.85097786035345-2.454229543940805_sci.txt
39	65-86149-150.11981917040347-2.2026508331661487_sci.txt
39	18-73010-150.02166007689843-1.6065848745249895_sci.txt
39	74-57564-150.67545235191096-2.3394808811341434_sci.txt
39	105-16445-149.55804436529954-2.7476593679389145_sci.txt
39	102-38830-149.99337287056818-2.737984681415026_sci.txt
39	43-94914-149.75347386422192-1.86488745242411_sci.txt
39	63-97398-150.41440384912414-2.1937188286079827_sci.txt
39	100-47841-150.30841568909366-2.751912893980108_sci.txt
39	68-63298-149.56806457206267-2.173800721782255_sci.txt
39	41-88996-150.21758674341405-1.9470759966929687_sci.txt
39	51-65680-150.42848265888767-2.093088455793078_sci.txt
39	52-54664-150.38889268446846-2.0870484811224244_sci.txt
39	80-32228-149.66354449345266-2.320821837030875_sci.txt
39	50-78751-150.57433235103534-2.111638890299649_sci.txt
39	87-98535-150.4497726109883-2.5375494496356716_sci.txt
39	57-61541-149.51280637486013-2.1014453132391617_sci.txt
39	104-65705-149.70112743817234-2.754235925814943_sci.txt
39	61-26558-150.72944338804638-2.156037198856825_sci.txt
39	50-9929-150.59965774751905-1.9660898973778822_sci.txt
39	43-90579-149.7509874627929-1.858824090045144_sci.txt
39	44-70929-149.56402866273785-1.9309650709633017_sci.txt
39	69-62323-149.5368236805264-2.26181504773647_sci.txt
39	81-16880-149.51426235955324-2.304879282819422_sci.txt
39	50-90204-150.69473427905524-2.029913789744276_sci.txt
39	45-38854-149.55247211186372-1.90949682053906_sci.txt
39	104-66452-149.59028589464234-2.767742298542236_sci.txt
39	44-88483-149.6121640639863-1.9485661231273212_sci.txt
39	51-5588-150.48932996294766-1.9624109791877673_sci.txt
39	54-65824-149.89547930007555-2.096969037037564_sci.txt
39	50-24918-150.6560438532859-1.9750409364898036_sci.txt
39	56-35897-149.59062587222851-1.9836442915731314_sci.txt
39	68-27980-149.58826478971642-2.1472371889024235_sci.txt
39	101-39006-150.08575070504816-2.7336762961591834_sci.txt
39	31-80749-149.83936340271282-1.6996359659096785_sci.txt
39	39-35354-150.41600713608403-1.8181669654630748_sci.txt
39	88-60523-150.36985944318926-2.4969029289605222_sci.txt
39	28-35286-150.29631617258804-1.7317301220378865_sci.txt
39	27-77639-150.40219650091862-1.7753559625288047_sci.txt
39	37-17202-150.7522766730708-1.8889881295234412_sci.txt
39	63-39328-150.51815105131047-2.1484013363748664_sci.txt
